pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
49,2395,599565,599836,253,271,51.0,597170,247
50,2201,107629,109737,2090,2108,50.0,105428,1917
50,2371,246300,246396,77,96,50.0,243929,88
50,2552,413078,417095,4004,4017,50.0,410526,3652
50,2462,599837,602331,2475,2494,50.0,597375,2268
51,2368,109738,114453,4697,4715,49.0,107370,4287
51,2455,246397,246937,528,540,49.0,243942,491
51,2556,417096,420947,3839,3851,49.0,414540,3501
51,2619,602332,606627,4279,4295,49.0,599713,3905
52,2456,114454,119566,5093,5112,48.0,111998,4648
52,2460,246938,247362,407,424,48.0,244478,386
52,2559,420948,425169,4202,4221,48.0,418389,3838
52,2629,606628,608173,1529,1545,48.0,603999,1405
53,2534,119567,120629,1045,1062,47.0,117033,966
53,2461,247363,247463,88,100,47.0,244902,91
53,2575,425170,430014,4829,4844,47.0,422595,4404
53,2644,608174,610889,2695,2715,47.0,605530,2469
54,2551,120630,125003,4356,4373,46.0,118079,3976
54,2483,247464,247851,374,387,46.0,244981,352
54,2603,430015,432869,2838,2854,46.0,427412,2595
54,2660,610890,612107,1199,1217,46.0,608230,1107
55,2575,125004,129960,4939,4956,45.0,122429,4506
55,2567,247852,248322,451,470,45.0,245285,428
55,2713,432870,437282,4400,4412,45.0,430157,4011
55,2679,612108,614059,1936,1951,45.0,609429,1774
56,2583,129961,135160,5181,5199,44.0,127378,4727
56,2608,248323,248815,473,492,44.0,245715,448
56,2788,437283,441951,4653,4668,44.0,434495,4244
56,2695,614060,618623,4543,4563,44.0,611365,4149
57,2603,135161,137146,1969,1985,43.0,132558,1805
57,2612,248816,249196,363,380,43.0,246204,346
57,2874,441952,444312,2343,2360,43.0,439078,2146
57,2727,618624,624010,5368,5386,43.0,615897,4897
58,2643,137147,137899,737,752,42.0,134504,684
58,2656,249197,249687,473,490,42.0,246541,446
58,2923,444313,445651,1320,1338,42.0,441390,1217
58,2962,624011,627667,3641,3656,42.0,621049,3324
59,2648,137900,138745,825,845,41.0,135252,769
59,2738,249688,250026,319,338,41.0,246950,308
59,2981,445652,449294,3630,3642,41.0,442671,3311
59,2994,627668,632396,4708,4728,41.0,624674,4299
60,2659,138746,139755,990,1009,40.0,136087,918
60,2843,250027,250219,176,192,40.0,247184,175
60,3001,449295,451353,2046,2058,40.0,446294,1871
60,3116,632397,637517,5104,5120,40.0,629281,4655
61,2696,139756,144814,5038,5058,39.0,137060,4599
61,2887,250220,250630,396,410,39.0,247333,373
61,3008,451354,455700,4334,4346,39.0,448346,3951
61,3178,637518,641455,3916,3937,39.0,634340,3580
62,2709,144815,145647,814,832,38.0,142106,757
62,2921,250631,250707,55,76,38.0,247710,70
62,3036,455701,460538,4818,4837,38.0,452665,4398
62,3215,641456,643537,2068,2081,38.0,638241,1892
63,2721,145648,146389,726,741,37.0,142927,674
63,2988,250708,250794,66,86,37.0,247720,79
63,3084,460539,465276,4719,4737,37.0,457455,4307
