pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
55,2575,125004,129960,4939,4956,45.0,122429,4506
55,2567,247852,248322,451,470,45.0,245285,428
55,2713,432870,437282,4400,4412,45.0,430157,4011
56,2583,129961,135160,5181,5199,44.0,127378,4727
56,2608,248323,248815,473,492,44.0,245715,448
56,2788,437283,441951,4653,4668,44.0,434495,4244
57,2603,135161,137146,1969,1985,43.0,132558,1805
57,2612,248816,249196,363,380,43.0,246204,346
57,2874,441952,444312,2343,2360,43.0,439078,2146
58,2643,137147,137899,737,752,42.0,134504,684
58,2656,249197,249687,473,490,42.0,246541,446
58,2923,444313,445651,1320,1338,42.0,441390,1217
59,2648,137900,138745,825,845,41.0,135252,769
59,2738,249688,250026,319,338,41.0,246950,308
59,2981,445652,449294,3630,3642,41.0,442671,3311
60,2659,138746,139755,990,1009,40.0,136087,918
60,2843,250027,250219,176,192,40.0,247184,175
60,3001,449295,451353,2046,2058,40.0,446294,1871
61,2696,139756,144814,5038,5058,39.0,137060,4599
61,2887,250220,250630,396,410,39.0,247333,373
61,3008,451354,455700,4334,4346,39.0,448346,3951
62,2709,144815,145647,814,832,38.0,142106,757
62,2921,250631,250707,55,76,38.0,247710,70
62,3036,455701,460538,4818,4837,38.0,452665,4398
63,2721,145648,146389,726,741,37.0,142927,674
63,2988,250708,250794,66,86,37.0,247720,79
63,3084,460539,465276,4719,4737,37.0,457455,4307
64,2803,146390,148806,2398,2416,36.0,143587,2197
64,3005,250795,251211,396,416,36.0,247790,379
64,3235,465277,469722,4433,4445,36.0,462042,4041
65,2878,148807,150738,1914,1931,35.0,145929,1756
65,3036,251212,251231,0,19,35.0,248176,18
65,3287,469723,471597,1859,1874,35.0,466436,1704
66,2904,150739,153739,2981,3000,34.0,147835,2728
66,3160,251232,251399,154,167,34.0,248072,152
66,3310,471598,473495,1881,1897,34.0,468288,1725
67,2908,153740,157148,3388,3408,33.0,150832,3099
67,3260,251400,251590,176,190,33.0,248140,173
67,3371,473496,477419,3905,3923,33.0,470125,3567
68,3071,157149,157384,220,235,32.0,154078,214
68,3306,251591,251612,0,21,32.0,248285,20
68,3378,477420,482895,5456,5475,32.0,474042,4978
69,3076,157385,159582,2178,2197,31.0,154309,1998
69,3319,251613,252030,396,417,31.0,248294,380
69,3379,482896,487152,4235,4256,31.0,479517,3870
70,3126,159583,163899,4301,4316,30.0,156457,3924
70,3402,252031,252575,528,544,30.0,248629,495
70,3386,487153,492013,4840,4860,30.0,483767,4419
71,3227,163900,167140,3223,3240,29.0,160673,2946
71,3447,252576,253048,451,472,29.0,249129,430
71,3400,492014,497167,5137,5153,29.0,488614,4685
72,3322,167141,172521,5368,5380,28.0,163819,4891
72,3453,253049,253369,308,320,28.0,249596,291
72,3431,497168,501112,3927,3944,28.0,493737,3586
73,3371,172522,173615,1078,1093,27.0,169151,994
73,3469,253370,253608,220,238,27.0,249901,217
73,3563,501113,503529,2398,2416,27.0,497550,2197
74,3447,173616,175604,1969,1988,26.0,170169,1808
74,3491,253609,254150,528,541,26.0,250118,492
74,3645,503530,508910,5368,5380,26.0,499885,4891
75,3505,175605,178339,2717,2734,25.0,172100,2486
75,3527,254151,254430,264,279,25.0,250624,254
75,3738,508911,510177,1254,1266,25.0,505173,1151
76,3535,178340,183223,4862,4883,24.0,174805,4440
76,3529,254431,254828,385,397,24.0,250902,361
76,3819,510178,512952,2761,2774,24.0,506359,2522
77,3540,183224,188630,5390,5406,23.0,179684,4915
77,3570,254829,255200,352,371,23.0,251259,338
77,3836,512953,515850,2882,2897,23.0,509117,2634
78,3552,188631,191297,2651,2666,22.0,185079,2424
78,3771,255201,255749,528,548,22.0,251430,499
78,3899,515851,518207,2343,2356,22.0,511952,2142
79,3580,191298,192757,1441,1459,21.0,187718,1327
79,3912,255750,256194,429,444,21.0,251838,404
